throughput_mbps,bytes_per_packet,packet_rate,port_asymmetry,rx_throughput_mbps,utilization,jitter_mbps,burstiness,rx_tx_ratio,tx_error_rate,rx_error_rate,idle_flag,traffic_type
10.26462,1358.0,944.8288,0.0,0.000247,0.102646,0.233521,0.022395,2.4e-05,0.0,0.0,0,VIDEO
0.230879,66.0,437.2711,0.0,73.334826,0.002309,0.097276,0.869104,2.0,0.0,0.0,0,HTTP
10.273708,1357.45,946.0484,0.0,0.0,0.102737,4.242878,1.389073,0.0,0.0,0.0,0,VIDEO
0.044384,1315.64,4.217,9.0909,0.044224,0.000444,0.017458,0.752773,0.996407,0.0,0.0,0,ICMP
68.389146,1500.0,444.0245,8.4215,0.214657,0.683891,33.177634,0.994781,0.003139,0.0,0.0,0,HTTP
0.024828,1228.15,2.527,15.3846,0.024666,0.000248,0.01934,1.074929,0.993486,0.0,0.0,0,ICMP
2.232354,241.91,1153.5042,0.0,0.0,0.022324,0.133027,0.055555,0.0,0.0,0.0,0,GAMING
0.024738,1228.15,2.5178,15.3846,0.024577,0.000247,0.016674,0.709885,0.993486,0.0,0.0,0,ICMP
2.235668,242.0,1154.7871,0.0,0.000153,0.022357,0.150264,0.063106,6.8e-05,0.0,0.0,0,GAMING
2.303242,242.0,1189.6914,0.0,0.000157,0.023032,0.13774,0.057118,6.8e-05,0.0,0.0,0,GAMING
0.044034,1442.0,3.8171,0.0,0.044192,0.00044,0.019067,1.732051,1.003606,0.0,0.0,0,ICMP
0.049004,1442.0,4.2479,0.0,0.049181,0.00049,0.017838,0.739272,1.003606,0.0,0.0,0,ICMP
0.042515,1442.0,3.6854,0.0,0.042745,0.000425,0.01841,1.732051,1.005409,0.0,0.0,0,ICMP
2.500896,241.73,1293.2281,0.0,0.001194,0.025009,1.08292,1.732051,0.000477,0.0,0.0,0,GAMING
2.41899,241.91,1249.9429,0.0,0.0,0.02419,0.043075,0.017576,0.0,0.0,0.0,0,GAMING
0.119335,66.13,225.5763,0.0,33.971661,0.001193,0.074228,0.664813,2.0,0.0,0.0,0,HTTP
0.01769,1164.0,1.8997,20.0,0.017532,0.000177,0.016668,0.710743,0.991065,0.0,0.0,0,ICMP
31.23923,1500.0,223.8771,10.8838,0.105509,0.312392,24.162895,0.693122,0.003377,0.0,0.0,0,HTTP
10.578224,1358.0,973.6952,0.0,0.000253,0.105782,0.211499,0.020446,2.4e-05,0.0,0.0,0,VIDEO
0.012861,1442.0,1.1148,0.0,0.013015,0.000129,0.018946,0.784882,1.01202,0.0,0.0,0,ICMP
59.798902,1500.0,425.3062,10.7538,0.200681,0.597989,30.849724,0.860336,0.003356,0.0,0.0,0,HTTP
71.560357,1500.0,468.6402,9.286,0.224464,0.715604,31.308101,1.031471,0.003137,0.0,0.0,0,HTTP
0.048009,1315.64,4.5614,0.0,0.0,0.00048,0.020695,1.701353,0.0,0.0,0.0,0,ICMP
0.035225,1210.33,3.6379,16.6667,0.034973,0.000352,0.021324,1.016648,0.992839,0.0,0.0,0,ICMP
2.486915,241.91,1285.0466,0.0,0.0,0.024869,0.161602,0.066115,0.0,0.0,0.0,0,GAMING
0.039025,1233.5,3.9547,15.0,0.038778,0.00039,0.021346,0.999079,0.993677,0.0,0.0,0,ICMP
9.416455,1357.18,867.2817,0.0,0.0,0.094165,0.991043,0.09595,0.0,0.0,0.0,0,VIDEO
2.335543,242.0,1206.3756,0.0,0.000241,0.023355,1.148828,0.942349,0.000103,0.0,0.0,0,GAMING
2.372678,242.0,1225.5568,0.0,0.000163,0.023727,0.96763,0.585544,6.9e-05,0.0,0.0,0,GAMING
11.300241,1358.0,1040.1547,0.0,0.000271,0.113002,0.937766,0.088392,2.4e-05,0.0,0.0,0,VIDEO
10.72617,1357.18,987.9111,0.0,0.0,0.107262,4.422031,0.581383,0.0,0.0,0.0,0,VIDEO
10.116348,1357.18,931.746,0.0,0.0,0.101163,0.327459,0.031687,0.0,0.0,0.0,0,VIDEO
10.659763,1358.0,981.2005,0.0,0.000175,0.106598,0.118781,0.011214,1.6e-05,0.0,0.0,0,VIDEO
15.471199,1500.0,93.895,12.7706,0.043245,0.154712,30.778701,0.723556,0.002795,0.0,0.0,0,HTTP
2.411766,241.94,1246.0592,0.0,0.0,0.024118,1.010542,1.502672,0.0,0.0,0.0,0,GAMING
4.554393,1500.0,43.1333,2.7523,0.02235,0.045544,34.69426,0.945068,0.004907,0.0,0.0,0,HTTP
9.109532,1357.18,839.0133,0.0,0.0,0.091095,0.739293,0.072309,0.0,0.0,0.0,0,VIDEO
0.043551,1260.7,4.3181,13.0435,0.043316,0.000436,0.016047,0.709432,0.99462,0.0,0.0,0,ICMP
2.398279,241.94,1239.0912,0.0,0.0,0.023983,0.119211,0.048777,0.0,0.0,0.0,0,GAMING
2.378343,241.94,1228.7913,0.0,0.0,0.023783,0.059802,0.024234,0.0,0.0,0.0,0,GAMING
2.364541,241.94,1221.6642,0.0,0.0,0.023645,0.066216,0.027532,0.0,0.0,0.0,0,GAMING
0.038165,1442.0,3.3083,0.0,0.038303,0.000382,0.021518,1.010699,1.003606,0.0,0.0,0,ICMP
10.108329,1358.0,930.4427,0.0,0.000243,0.101083,0.362643,0.034564,2.4e-05,0.0,0.0,0,VIDEO
10.682279,1358.0,983.2731,0.0,0.000171,0.106823,4.395288,1.354684,1.6e-05,0.0,0.0,0,VIDEO
0.156449,66.0,296.3046,0.0,60.311128,0.001564,0.082033,0.645041,2.0,0.0,0.0,0,HTTP
0.033263,1210.33,3.4353,16.6667,0.033024,0.000333,0.019713,1.01131,0.992839,0.0,0.0,0,ICMP
2.457108,242.0,1269.1676,0.0,0.000254,0.024571,0.961092,0.515698,0.000103,0.0,0.0,0,GAMING
0.045194,1442.0,3.9177,0.0,0.045357,0.000452,0.016162,0.696194,1.003606,0.0,0.0,0,ICMP
0.224907,65.99,426.0439,0.0,72.271457,0.002249,0.102359,0.814973,2.0,0.0,0.0,0,HTTP
69.556425,1500.0,470.1335,10.8347,0.221335,0.695564,32.681618,0.933197,0.003182,0.0,0.0,0,HTTP
66.317027,1500.0,446.8835,11.2694,0.209364,0.66317,33.365551,0.993831,0.003157,0.0,0.0,0,HTTP
10.718358,1358.0,986.5941,0.0,0.000175,0.107184,4.506134,1.526734,1.6e-05,0.0,0.0,0,VIDEO
1.310068,1336.29,122.5472,0.0,0.001347,0.013101,3.957902,0.487478,0.001028,0.0,0.0,0,VIDEO
10.296699,1358.0,947.7816,0.0,0.000248,0.102967,4.281347,1.097463,2.4e-05,0.0,0.0,0,VIDEO
0.044451,1315.64,4.2233,9.0909,0.044291,0.000445,0.019152,1.698169,0.996407,0.0,0.0,0,ICMP
0.228727,66.0,433.196,0.0,72.341858,0.002287,0.101342,0.873624,2.0,0.0,0.0,0,HTTP
